,label,title
11935,5,Does these types of stats exist?
11337,5,"Looking Back: Four Years Ago, Bill Simmons Ranked Greivis Vasquez Higher in His NBA Trade Value Column Than Kawhi Leonard"
230,5,"Rudy Gobert Full Highlights Jazz vs Pelicans 2018.10.27 - 25 Pts, 14 Reb, 4 Blocks!"
1842,5,This was called a flagrant foul
8537,5,[Young] Steven Adams doesn't know Jokic's first name
