,label,title
6290,3,[Post Game Thread] The Portland Trail Blazers (11-5) defeat The Washington Wizards (5-11) 119-109
5056,3,"[Post Game Thread] The Houston Rockets (39-13) defeat the Brooklyn Nets (19-36), 120-113, behind James Harden's 33 points"
5325,3,"[Post-Game Thread] The Atlanta Hawks (14-32) defeat the Utah Jazz (19-28), 104-90"
5626,3,[Post Game Thread] The San Antonio Spurs (28-14) come back from 14 down to defeat The Sacramento Kings (13-26) 107-100
6155,3,"[Post Game Thread] The San Antonio Spurs (12-14) defeat the v Los Angeles Lakers (15-10), 133 - 120"
