,label,title
8572,2,"[Haynes] Kawhi Leonard isn't concerned about missing out on the supermax, sources tell ESPN. There's a feeling of betrayal that at this juncture, appears irreparable."
11605,2,"Although HOU and GSW have the same OFF RTG (112.9), their offenses are nothing alike [stats]"
12699,2,How much would Wiggins have gotten if the T-wolves waited till the summer to sign him?
14736,2,Does the DLo deal mean Kevin Durant night sign a 5 Year sign and trade now?
8620,2,"[Shelburne] The Warriors believe Kevin Durant’s MRI on Tuesday will confirm a torn right Achilles’ tendon, league sources tell me and @wojespn."
